PO ID,PO Number,Bill ID,Bill Number,Extracted Date,Notes,Terms,Flagged
5623409000002748186,12-14776-27384,5623409000002747154,12-14776-27384,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Lifestyle SA3 2 Channel Stereo Amplifier AMP With Power Cable: https://www.ebay.com/itm/127732242784",,Yes
5623409000002742217,14-14773-10245,5623409000002747135,14-14773-10245,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Lifestyle SA3 Zone Amplifier Black 2-Channel 400W 120V Analog BoseLink - S: https://www.ebay.com/itm/358602522573",,Yes
5623409000002749014,8211903072008387,5623409000002748149,8211903072008387,,"https://vi.aliexpress.com/item/1005010481704486.html?spm=a2g0o.order_detail.order_detail_item.3.5db2126aZlRDlk&gatewayAdapt=glo2vnm4itemAdapt
Source: MANUAL",,Yes
5623409000002735397,63257605,5623409000002730957,63257605,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Vintage Bose Wave Radio AWR1-1W Connoisseur Edition AM/FM Tested with Remote: https://shopgoodwill.com/item/266186657",,Yes
5623409000002725666,63257720,5623409000002730749,63257720,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Surround Speaker & Wires Lot (untested): https://shopgoodwill.com/item/266618199",,Yes
5623409000002735225,63289216,5623409000002730818,63289216,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Untested Bose Home Audio Lot: https://shopgoodwill.com/item/266794340",,Yes
5623409000002727653,63222582,5623409000002730980,63222582,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Wave Music System IV 417788-WMS Silver CD Player FM Radio AUX IN: https://shopgoodwill.com/item/266330458",,Yes
5623409000002725659,63257858,5623409000002730877,63257858,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Wave Radio: https://shopgoodwill.com/item/266756110",,Yes
5623409000002730717,63289245,5623409000002730772,63289245,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Wave Music System White Tabletop CD Player Digital Clock AUX Input: https://shopgoodwill.com/item/266839132",,Yes
5623409000002732613,63289282,5623409000002730795,63289282,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose VCS-10 Center Channel Speaker Home Theater: https://shopgoodwill.com/item/266326153",,Yes
5623409000002730691,23-14755-38218,5623409000002730701,23-14755-38218,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose 151 SE Outdoor Environmental Speakers White With Mounting Brackets Pair: https://www.ebay.com/itm/407001569669
Tracking: 9434608106244242089905",,Yes
5623409000002725652,25-14748-47567,5623409000002735209,25-14748-47567,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 382030113335
BOSE 151 SE Outdoor Environmental Speakers White W/Brackets: https://www.ebay.com/itm/287393644374",,Yes
5623409000002730683,15-14764-64637,5623409000002735184,15-14764-64637,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 873113841193
Bose 251 Environmental Outdoor Speakers Pair – Tested & Working – Used: https://www.ebay.com/itm/157998256568",,Yes
5623409000002727646,304769846501021606,5623409000002730923,304769846501021606,,"https://www.alibaba.com/product-detail/Plug-and-Play-PAL-NTSC-Composite_1601430490777.html?fromPlat=buyer_ops&mt=mail&crm_mtn_tracelog_log_id=138059265832&s_id=push-task_74019&t_id=2000114762&c_id=37800&as_token=InDAegJUTVT2yI3W%2F7KINbi9szxzIpNj5SnKx6%2FAUfss7dvf&to=mekong.usa%40gmail.com&from=credit%40notice.alibaba.com
Source: MANUAL",,Yes
5623409000002730676,63257932,5623409000002730900,63257932,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Tracking: 382048158160
Bose Rv Speaker Bar: https://shopgoodwill.com/item/266509096",,Yes
5623409000002731435,63257968,5623409000002731479,63257968,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Surround Sound Speaker Set, 5 Pieces, Black: https://shopgoodwill.com/item/266519193",,Yes
5623409000002725289,63257954,5623409000002731577,63257954,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Companion 2 Series III Multimedia Speaker System - Tested: https://shopgoodwill.com/item/266294976",,Yes
5623409000002732218,63257907,5623409000002731450,63257907,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Cinemate Series Ii Bose Black Digital Home Theater Speaker System: https://shopgoodwill.com/item/266520445",,Yes
5623409000002728371,63257780,5623409000002731554,63257780,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Acoustimass 6 Series II Speakers With Cords: https://shopgoodwill.com/item/266460692",,Yes
5623409000002727307,63257828,5623409000002731652,63257828,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Solo Soundbar II Model 431475 Black Compact TV Soundbar Used: https://shopgoodwill.com/item/266605502",,Yes
5623409000002731428,63222502,5623409000002731600,63222502,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Solo 5 TV Sound System Soundbar Model 418775 Black Untested: https://shopgoodwill.com/item/266654997",,Yes
5623409000002731421,63139707,5623409000002731704,63139707,,"https://shopgoodwill.com/shopgoodwill/order/63139707#shippedorders
Source: MANUAL
Tracking: 529738476490",,Yes
5623409000002728356,63257429,5623409000002731531,63257429,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Sound Dock Series II Digital Music System (Untested Power On): https://shopgoodwill.com/item/266455778",,Yes
5623409000002731413,63139736,5623409000002731675,63139736,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Two Pairs Bose Multimedia Computer Speakers Silver Black - Untested: https://shopgoodwill.com/item/266169146",,Yes
5623409000002732202,63222454,5623409000002731623,63222454,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Set Of 5 Pcs Black Bose Surround Sound Home Theater Speakers Not Tested: https://shopgoodwill.com/item/266784734",,Yes
5623409000002728349,63257454,5623409000002731508,63257454,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Solo 5 TV Sound System 418775 Black Soundbar AUX Optical Coaxial Input: https://shopgoodwill.com/item/266482444",,Yes
5623409000002727296,10-14769-00821,5623409000002728333,10-14769-00821,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244232611703
Bose Companion 2 Series III Multimedia Speakers w/ Cords Tested: https://www.ebay.com/itm/206345009651",,Yes
5623409000002725256,11-14767-47698,5623409000002725267,11-14767-47698,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System IV Bluetooth AM/FM CD Stereo Compact Shelf Black *Read: https://www.ebay.com/itm/358663054529",,Yes
5623409000002728304,12-14766-52401,5623409000002728314,12-14766-52401,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose SoundTouch 10 Wireless Music System 416776 - White: https://www.ebay.com/itm/800156546342
Tracking: 9434608106245266353041",,Yes
5623409000002728297,01-14786-21820,5623409000002725208,01-14786-21820,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Companion 2 Series III 2.0 Wired Computer Speakers Black Volume Control: https://www.ebay.com/itm/358667275989
Tracking: 9434608106244235028263",,Yes
5623409000002727255,01-14786-76340,5623409000002727266,01-14786-76340,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System AWRCC1 with Multi-CD Changer - For Parts (Disk Error): https://www.ebay.com/itm/137312496955
Tracking: 9434608106245264611624",,Yes
5623409000002728281,23-14750-04050,5623409000002730263,23-14750-04050,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 382012912559
Bose Lifestyle AV35 Control Console Remote Soundtouch Wireless READ DESCRIPTION: https://www.ebay.com/itm/227385616193",,Yes
5623409000002728274,03-14782-77486,5623409000002730244,03-14782-77486,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose AV20 Media Center Control Console with Remote & Charger -- TESTED READ: https://www.ebay.com/itm/336468867937
Tracking: 382044573864",,Yes
5623409000002732188,18-14758-14511,5623409000002728258,18-14758-14511,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 382012795891
Bose AV20 Control Console W/ Power Supply, No Remote- Works: https://www.ebay.com/itm/168444429776",,Yes
5623409000002732180,14-14764-80067,5623409000002730219,14-14764-80067,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Lifestyle Double Cube Speakers - 4 Cubes & Horizontal Center - Tested: https://www.ebay.com/itm/398025233839
Tracking: 9434608106244242037708",,Yes
5623409000002728248,09-14772-89354,5623409000002727239,09-14772-89354,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Center Channel Speaker Horizontal Double Cube Black Acoustimass Lifestyle: https://www.ebay.com/itm/178219485298
Tracking: 1Z14V534YW35107664",,Yes
5623409000002731373,11-14769-61862,5623409000002731383,11-14769-61862,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244234402088
Bose 151 SE Outdoor Wired 2.0 Weatherproof Speaker Pair White w/ Box Guide: https://www.ebay.com/itm/287394973281",,Yes
5623409000002725191,15-14756-16873,5623409000002731357,15-14756-16873,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434908106244234342897
Bose Wave Music System IV 417788-WMS Black Doesn't Play CDs For Parts or Repair: https://www.ebay.com/itm/117243653154",,Yes
5623409000002730202,03-14777-17761,5623409000002728232,03-14777-17761,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
1 BOSE 151 SE Outdoor Environmental Speaker White No Bracket One Speaker G2U: https://www.ebay.com/itm/178212754112",,Yes
5623409000002728222,11-14763-89539,5623409000002730186,11-14763-89539,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
VGC!! Bose Wave Music System III Graphite Silver CD AM/FM Radio w/ Remote: https://www.ebay.com/itm/147369550944
Tracking: 9434608106245262503419",,Yes
5623409000002732166,02-14779-30591,5623409000002728206,02-14779-30591,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System IV CD Player Alarm Radio Remote Silver*Parts/Repair/READ*: https://www.ebay.com/itm/278082831762
Tracking: 9434608106245263389937",,Yes
5623409000002727215,26-14739-87347,5623409000002730167,26-14739-87347,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244231682520
Bose SoundTouch SA-5 2-Channel Amplifier Black working condition: https://www.ebay.com/itm/377244891481",,Yes
5623409000002728170,12-14764-11526,5623409000002728181,12-14764-11526,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE WAVE RADIO II AWR1B2 W/ WAVE MUSIC SYSTEM IC-1 Controller T5-E: https://www.ebay.com/itm/157913695556
Bose Wave Music System III AM/FM Clock Radio Unit Only W/Power Cord: https://www.ebay.com/itm/168389723040
Tracking: 382073169753",,Yes
5623409000002728144,25-14742-97577,5623409000002728154,25-14742-97577,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE 151 SE Outdoor Environmental Satellite Speakers White x2 No Wire / Bracket: https://www.ebay.com/itm/147371979294
Tracking: 382038148102",,Yes
5623409000002732159,15-14759-10396,5623409000002725175,15-14759-10396,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose 151 SE Environmental Speakers White Outdoor Wall Mount Brackets Pair Tested: https://www.ebay.com/itm/188500695734",,Yes
5623409000002728130,12-14759-22626,5623409000002731330,12-14759-22626,,"Imported via eBay GetOrders (Buyer) (ebay_dragon).
Source: EBAY_DRAGON_API
Bose RC38T1-27 Lifestyle 38/48 Remote Control test working: https://www.ebay.com/itm/227221296128",,Yes
5623409000002732152,20-14745-38111,5623409000002725156,20-14745-38111,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 381992959596
Bose Wave Music System III - Platinum White *works*, Parts Only: https://www.ebay.com/itm/318081709064",,Yes
5623409000002730150,17-14750-21909,5623409000002731285,17-14750-21909,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System III AM/FM Radio CD Player Disc Error For Parts Or Repair: https://www.ebay.com/itm/178205257683",,Yes
5623409000002731249,18-14748-75339,5623409000002731259,18-14748-75339,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400136208235348065038
Genuine Bose RC35T-A Remote Control for Lifestyle home theater system: https://www.ebay.com/itm/178198525551",,Yes
5623409000002728101,12-14-75878476,5623409000002732130,12-14-75878476,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE WAVE RADIO II AWR1B2 W/ WAVE MUSIC SYSTEM IC-1 Controller T5-E: https://www.ebay.com/itm/157913695556
Bose Wave Music System III AM/FM Clock Radio Unit Only W/Power Cord: https://www.ebay.com/itm/168389723040",,Yes
5623409000002725136,12-14759-01105,5623409000002727147,12-14759-01105,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400108106244233745818
Genuine Bose RC38T1-27 Remote Control for Lifestyle 38 and 48: https://www.ebay.com/itm/198406765939",,Yes
5623409000002731075,07-14767-59145,5623409000002731085,07-14767-59145,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244225988867
Bose Wave Music System Series 3 Disc Multi-CD Changer Accessory *PARTS ONLY*: https://www.ebay.com/itm/366470267208",,Yes
5623409000002718023,09-14758-93364,5623409000002714005,09-14758-93364,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 381970341549
Bose Wave Music System AM/FM Radio AWRCC2 w/ Remote - CD PLAYER NOT WORKING: https://www.ebay.com/itm/147366673926",,Yes
5623409000002722001,04-14768-33154,5623409000002717005,04-14768-33154,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave SoundTouch Radio IV AM/FM Radio Platinum 417788-WR Power Cord: https://www.ebay.com/itm/389967855237",,Yes
5623409000002718009,03-14769-89380,5623409000002720037,03-14769-89380,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE 151SE Speaker System USED Operation confirmed: https://www.ebay.com/itm/287291980031",,Yes
5623409000002720001,18-14746-11346,5623409000002720012,18-14746-11346,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose 251 Environmental Black Speakers w/ Mounting Brackets. Sound Great! 1 PAIR: https://www.ebay.com/itm/127894041753",,Yes
5623409000002700179,8211789633358387,5623409000002696454,8211789633358387,,"Imported from AliExpress orders CSV.
Source: ALIEXPRESS_CSV
Tracking: GFUS01055982875073
S-Video to HDMI-compatible Converter 3RCA AV to HDMI-compatible Adapter For WII U PS2/ PS3 STB Xbox VHS VCR Blue-Ray DVD Players (black, AV S-Video to HDMI): https://www.aliexpress.com/item/3256809058019502.html",,Yes
5623409000002700091,13-14746-97897,5623409000002700101,13-14746-97897,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System II AWRCC2 Radio Alarm Remote READ PARTS White: https://www.ebay.com/itm/306993333019",,Yes
5623409000002696279,19-14738-33817,5623409000002700075,19-14738-33817,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE WAVE RADIO II AM/FM RADIO SYSTEM MODEL AWR1B1 W/REMOTE & POWER CORD: https://www.ebay.com/itm/168389762155",,Yes
5623409000002701090,20-14736-65716,5623409000002701100,20-14736-65716,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Radio II AWR1B1 AM/FM Radio System Alarm with Remote TESTED (VIDEO): https://www.ebay.com/itm/206218555124",,Yes
5623409000002696272,19-14738-37449,5623409000002701074,19-14738-37449,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Radio II AM/FM Radio System Alarm AWR1B1 w/ Remote & Manual TESTED: https://www.ebay.com/itm/800074576721",,Yes
5623409000002701064,11-14751-19083,5623409000002700049,11-14751-19083,,"Kai 2026-06-15 16:01:25 · SN: 034036C70685650AC
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE AWR1B1 Wave Radio II AM/FM Alarm Clock Radio White No Remote READ: https://www.ebay.com/itm/137055533145",,Yes
5623409000002692000,09-14755-97745,5623409000002701010,09-14755-97745,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose SoundTouch SA-5 2-Channel Amplifier Black working condition: https://www.ebay.com/itm/267688755167",,Yes
5623409000002697126,63140466,5623409000002698194,63140466,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Headphones In Case: https://shopgoodwill.com/item/266333528
Bose Grey Speakers: https://shopgoodwill.com/item/266530540",,Yes
5623409000002683992,63140120,5623409000002687881,63140120,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose VCS-10 Center Channel Speaker 6 Ohm 50W Black Curved Front Used: https://shopgoodwill.com/item/266054509",,Yes
5623409000002684843,63139797,5623409000002687904,63139797,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Solo Soundbar II Black Home Audio Theater Speaker Not Tested: https://shopgoodwill.com/item/266409367",,Yes
5623409000002696198,63139778,5623409000002687973,63139778,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Wave Music System: https://shopgoodwill.com/item/265980287",,Yes
5623409000002683015,18-14732-70738,5623409000002688006,18-14732-70738,,"Imported via eBay GetOrders (Buyer) (ebay_dragon).
prepaid shipping label: 1ZJ22B100312065375 ($17)
need to collect shipping fee of $38.88
Source: EBAY_DRAGON_API
Tracking: 1ZJ22B100312065375
BOSE Wave Music System IV AM/FM Radio/CD Player black new NO box: https://www.ebay.com/itm/227369812250",,Yes
5623409000002675327,11-14742-62421,5623409000002679202,11-14742-62421,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System IV CD Player Radio Remote W/ Soundlink Pedestal *Read: https://www.ebay.com/itm/178202603118",,Yes
5623409000002677112,15-14736-14536,5623409000002673130,15-14736-14536,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
✅ Bose Wave Radio II AWR1B1 Parts Repair Please Wait Remote Not Responding: https://www.ebay.com/itm/267653484477",,Yes
5623409000002681086,63118496,5623409000002674256,63118496,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose SoundDock Series II Digital Music System Black Lightning Dock: https://shopgoodwill.com/item/265921515
Bose 161 Bookshelf Stereo Surround Sound Speakers Pair Black 10-100W 6 Ohms: https://shopgoodwill.com/item/265927436",,Yes
5623409000002673082,63118597,5623409000002717231,63118597,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Companion 2 Series III Multimedia Speaker System: https://shopgoodwill.com/item/265342107",,Yes
5623409000002668280,26-14713-28309,5623409000002675027,26-14713-28309,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 1ZC600616805167666
Bose AV35 Control Console Lifestyle V35 w/ Remote And Manual: https://www.ebay.com/itm/157955959772",,Yes
5623409000002662350,63104936,5623409000002665501,63104936,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose Av35 (model 402455) Lifestyle V35 Home Entertainment Control Console Bundle: https://shopgoodwill.com/item/265939735",,Yes
5623409000002662247,01-14753-53534,5623409000002717196,01-14753-53534,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Platinum Wave Music System IV AM/FM CD w/ Remote NEAR MINT CONDITION: https://www.ebay.com/itm/366448558421",,Yes
5623409000002651405,8212461757108387,5623409000002651488,8212461757108387,,"Imported from AliExpress orders CSV.
Source: ALIEXPRESS_CSV
2.5M 3M  Rv Full Cassette Travel Caravans and Motorhome for Rv and Camper Awning,Custom Sizes: https://www.aliexpress.com/item/3256811416522294.html",,Yes
5623409000002650446,8211985562918387,5623409000002651419,8211985562918387,,"Imported from AliExpress orders CSV.
Source: ALIEXPRESS_CSV
Tracking: GFUS01054788589952
Unit for BOSE Wave Music System  AWRCC1 AWRCC2  AWRCC4 AWRCC5  AWRCC6  AWRCC8 Laser Lens  Optical Pick-ups Bloc Optique: https://www.aliexpress.com/item/3256803624055748.html",,Yes
5623409000002650330,25-14704-23351,5623409000002648290,25-14704-23351,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE 151 SE Outdoor Speaker Pair All Function Tested USED from JAPAN: https://www.ebay.com/itm/406954462647",,Yes
5623409000002618547,22-14689-10217,5623409000002621183,22-14689-10217,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 1Z1A3A970311904521
Bose TV Speaker Sound Bar for TV, Bluetooth Soundbar Speaker, Black: https://www.ebay.com/itm/127894192955",,Yes
5623409000002578174,19-14681-84220,5623409000002576236,19-14681-84220,,"KAI THEY SHIPPED THE WRONG ITEM TO US (HOLY BIBLE) CLAIM ZD 9110


Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434636106196340341443
Bose Wave Music System IV Black Radio AM/FM (No Remote) - CD ERROR PARTS/REPAIR: https://www.ebay.com/itm/168408042747",,Yes
5623409000002554610,113-0948505-4444210,5623409000002554852,113-0948505-4444210,,"https://www.amazon.com/dp/B09FPL7ZGM?ref=fed_asin_title&th=1
Source: MANUAL
Tracking: TBA331328885342",,Yes
5623409000002556184,04-14698-21097,5623409000002558156,04-14698-21097,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244167377767
Bose Wave Music System III CD Player AM FM Gray Tested EUC Remote, Manual, CD: https://www.ebay.com/itm/206283422111",,Yes
5623409000002557085,377196211973-10085156700618,5623409000002555255,377196211973-10085156700618,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Radio/CD Player Music System w/ Remotes, Cords & Remote Stand: https://www.ebay.com/itm/377196211973",,Yes
5623409000002547042,8211771267308387,5623409000002555508,8211771267308387,,"Imported from AliExpress orders CSV.
Source: ALIEXPRESS_CSV
30 Pin Bluetooth-compatible Adapter Receiver for iPod phone  K1KF (Black): https://www.aliexpress.com/item/3256805805189936.html
Tracking: YT2614421606003394",,Yes
5623409000002508592,08-14672-33326,5623409000002508602,08-14672-33326,,"Kai 2026-06-03 14:29:53 · SN: 044417C11947558AC
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 381500833514
Bose Wave Music System III w/ Remote (Working): https://www.ebay.com/itm/318184943238",,Yes
5623409000002274369,157870488212-10080642061720,5623409000002272734,157870488212-10080642061720,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Wave Music System Graphite Gray AWRCC1---AS IS---: https://www.ebay.com/itm/157870488212",,Yes
5623409000002258387,111-2444354-1893004,5623409000002344237,111-2444354-1893004,,"Source: MANUAL
Tracking: TBA330784121201
Imported from Amazon orders CSV.
Source: AMAZON_CSV",,Yes
5623409000002250354,62326349,5623409000002254617,62326349,,"Imported from Goodwill open-orders CSV.
Source: GOODWILL_PICKUP
Bose SoundDock Series II Digital Music System: https://shopgoodwill.com/item/262236163",,Yes
